id,hhid,Общее телесмотрение,Телесмотрение ночью,Телесмотрение утром,Телесмотрение в рабочее время,Телесмотрение в вечернее время,Телесмотрение в прайм тайм,Общее телесмотрение Пн-Пт,Телесмотрение ночью Пн-Пт,Телесмотрение утром Пн-Пт,Телесмотрение в рабочее время Пн-Пт,Телесмотрение в вечернее время Пн-Пт,Телесмотрение в прайм тайм Пн-Пт,Общее телесмотрение в выходные,Телесмотрение ночью в выходные,Телесмотрение утром в выходные,Телесмотрение в рабочее время в выходные,Телесмотрение вечером в выходные,Телесмотрение в прайм тайм в выходные,Просмотр жанра кино в рабочее время,Просмотр жанра кино в праздники,Просмотр жанра приключения в рабочее время,Просмотр жанра приключение в праздники,Просмотра жанра сад в рабочее время,Просмотр жанра сад в праздники,Просмотра жанра комедия в рабочее время,Просмотр жанра комедия в праздники,Просмотр жанра хоби в рабочее время,Просмотр жанра хобби в праздники,Просмотр жанра спорт в рабочее время,Просмотр жанра спорт в праздники,Просмотр жанра музыка в рабочее время,Просмотр жанра музыка в праздники,Просмотр жанра образования в рабочее время,Просмотр жанра образование в праздники,Размер ДХ,Тип ресивера,Оператор,Есть ли Интернет,Состав ДХ,ФО,Тип нас.пункта,Почтовый индекс
360,4057,1726,75,0.0,1420,231,0,644.0,0,0,538,106,0,1082,75,0,882,125,0,0,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Сельский населенный пункт,457650
361,5508,766,74,277.0,334,81,0,202.0,63,65,74,0,0,564,11,212,260,81,0,63,9,0,0,0,0,0,0,0,1,1,4,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,390542
362,1403,1919,77,125.0,1717,0,0,740.0,10,0,730,0,0,1179,67,125,987,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,65,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Сельский населенный пункт,404061
363,4230,598,63,0.0,469,66,0,198.0,0,0,138,60,0,400,63,0,331,6,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,352900
364,3864,4100,167,486.0,2963,466,18,1535.0,53,202,1150,124,6,2565,114,284,1813,342,12,0,7,0,105,3,0,0,0,3,1,407,7,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Город более 400 тыс.,454018
365,4145,209,0,0.0,151,58,0,0.0,0,0,0,0,0,209,0,0,151,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Сельский населенный пункт,347511
366,4494,2114,44,355.0,1615,100,0,835.0,17,214,529,75,0,1279,27,141,1086,25,0,1,3,0,5,3,5,13,0,3,13,1,2,14,31,0,1,2.0,Ресивер с поддержкой HEVC,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,309311
367,4250,2095,532,547.0,954,62,0,34.0,34,0,0,0,0,2061,498,547,954,62,0,34,247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,617060
368,663,758,95,108.0,254,199,102,10.0,10,0,0,0,0,748,85,108,254,199,102,2,0,0,0,0,0,0,0,2,83,0,0,0,0,0,0,5.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,308504
369,3960,1638,0,139.0,1222,233,44,933.0,0,139,738,56,0,705,0,0,484,177,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,356835
370,5164,510,0,0.0,482,28,0,510.0,0,0,482,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,440528
371,5511,1066,0,0.0,911,155,0,513.0,0,0,469,44,0,553,0,0,442,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,427580
372,4437,2278,682,519.0,1077,0,0,696.0,171,102,423,0,0,1582,511,417,654,0,0,78,118,11,33,36,5,1,129,65,87,3,5,0,1,16,137,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Сельский населенный пункт,632761
373,4575,105,0,0.0,74,31,0,0.0,0,0,0,0,0,105,0,0,74,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,429520
374,4270,1575,0,0.0,709,484,382,806.0,0,0,372,243,191,769,0,0,337,241,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,462800
375,4845,1142,2,93.0,799,248,0,792.0,0,92,560,140,0,350,2,1,239,108,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,141960
376,4259,2011,266,541.0,1204,0,0,1007.0,67,361,579,0,0,1004,199,180,625,0,0,5,198,0,0,43,2,0,0,0,1,0,1,165,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Уральский федеральный округ,Сельский населенный пункт,624474
377,4323,2115,510,259.0,1181,165,0,1142.0,200,180,644,118,0,973,310,79,537,47,0,100,2,0,30,55,0,0,0,15,276,0,0,0,0,31,2,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,445092
378,5051,179,32,18.0,129,0,0,0.0,0,0,0,0,0,179,32,18,129,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,171900
379,5099,1049,1,0.0,467,237,344,2.0,0,0,2,0,0,1047,1,0,465,237,344,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,309853
380,1665,933,12,0.0,367,465,89,392.0,11,0,154,195,32,541,1,0,213,270,57,4,0,0,1,0,0,0,0,0,0,7,0,0,0,4,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,308019
381,3837,125,0,73.0,52,0,0,90.0,0,41,49,0,0,35,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,606860
382,5295,1676,349,182.0,831,120,194,1007.0,225,182,600,0,0,669,124,0,231,120,194,156,79,13,0,0,0,0,0,27,38,4,0,0,0,7,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,152482
383,1772,975,0,70.0,641,245,19,442.0,0,0,295,128,19,533,0,70,346,117,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,308504
384,5417,631,0,0.0,577,54,0,289.0,0,0,235,54,0,342,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Кавказский федеральный округ,Город с численностью менее 45 тыс.,357340
385,5095,912,79,63.0,640,130,0,354.0,0,0,339,15,0,558,79,63,301,115,0,0,1,0,0,0,0,0,0,0,71,0,0,0,0,0,6,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,171901
386,5308,701,9,183.0,508,1,0,623.0,9,183,431,0,0,78,0,0,77,1,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,0,0,6.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,366501
387,4441,1415,127,184.0,581,162,361,2.0,0,2,0,0,0,1413,127,182,581,162,361,0,125,0,0,2,0,0,1,0,0,0,0,0,0,0,1,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,392036
388,4556,1813,196,364.0,1126,121,6,0.0,0,0,0,0,0,1813,196,364,1126,121,6,0,144,0,0,0,161,0,0,0,51,0,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Сельский населенный пункт,627610
389,5205,926,0,0.0,843,83,0,351.0,0,0,268,83,0,575,0,0,575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,357803
390,5011,2121,64,499.0,1349,209,0,1332.0,53,307,882,90,0,789,11,192,467,119,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,392543
391,5442,1697,0,347.0,1126,220,4,1002.0,0,307,597,98,0,695,0,40,529,122,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,353901
392,1284,1481,224,228.0,904,125,0,429.0,0,17,335,77,0,1052,224,211,569,48,0,0,1,0,0,2,0,0,0,0,220,1,2,1,30,0,3,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,617060
393,4702,5435,363,619.0,3130,592,731,2146.0,48,275,1216,246,361,3289,315,344,1914,346,370,20,251,0,2,102,16,1,11,0,31,0,5,0,1,2,3,5.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,216100
394,103,1124,1,0.0,674,240,209,615.0,1,0,314,120,180,509,0,0,360,120,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,414009
395,1108,2493,67,319.0,1804,172,131,1058.0,0,81,937,40,0,1435,67,238,867,132,131,0,63,0,0,2,3,0,3,0,0,1,0,0,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Город более 400 тыс.,344114
396,1782,478,174,44.0,53,79,128,260.0,0,0,53,79,128,218,174,44,0,0,0,0,0,0,0,62,13,0,0,0,173,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Сельский населенный пункт,168068
397,3761,2253,1,211.0,1409,322,310,1235.0,1,211,723,120,180,1018,0,0,686,202,130,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,606760
398,4783,2441,0,103.0,1723,470,145,1172.0,0,11,901,192,68,1269,0,92,822,278,77,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Западный федеральный округ,Город с численностью менее 45 тыс.,238710
399,5018,303,82,42.0,179,0,0,259.0,40,42,177,0,0,44,42,0,2,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,40,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,308504
400,3980,3786,941,639.0,2206,0,0,1456.0,323,238,895,0,0,2330,618,401,1311,0,0,189,100,0,0,16,4,16,119,20,258,1,0,0,0,1,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,428003
401,4630,320,117,73.0,130,0,0,0.0,0,0,0,0,0,320,117,73,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,368031
402,3791,3109,853,420.0,1829,7,0,1775.0,360,362,1053,0,0,1334,493,58,776,7,0,2,34,18,3,0,1,0,0,64,44,0,0,0,0,27,2,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Город с численностью менее 45 тыс.,662340
403,4050,661,0,0.0,524,120,17,650.0,0,0,513,120,17,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,143081
404,251,14,0,0.0,14,0,0,0.0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,430012
405,5398,2470,405,142.0,1744,6,173,1213.0,320,25,725,0,143,1257,85,117,1019,6,30,307,10,6,33,4,0,0,1,0,26,0,0,0,0,0,15,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Сибирский федеральный округ,Город с численностью менее 45 тыс.,652780
406,1736,2428,206,672.0,1115,247,188,389.0,146,180,63,0,0,2039,60,492,1052,247,188,0,0,0,15,0,0,0,0,0,15,0,0,180,236,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,442325
407,5290,3104,484,324.0,2296,0,0,1393.0,205,148,1040,0,0,1711,279,176,1256,0,0,203,118,0,18,16,40,0,10,2,33,17,2,0,0,0,15,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Северо-Западный федеральный округ,Город с численностью менее 45 тыс.,169534
408,3973,151,0,0.0,151,0,0,40.0,0,0,40,0,0,111,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,392000
409,1785,2282,379,208.0,1123,345,227,1457.0,213,146,714,200,184,825,166,62,409,145,43,162,9,8,0,2,0,0,0,43,157,1,3,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,155550
410,704,689,0,23.0,610,56,0,520.0,0,0,464,56,0,169,0,23,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Сельский населенный пункт,416471
411,5210,214,1,3.0,0,22,188,211.0,1,0,0,22,188,3,0,3,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,3,0,0,6.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Сельский населенный пункт,396670
412,1705,1445,18,317.0,941,122,47,780.0,0,143,468,122,47,665,18,174,473,0,0,0,0,0,0,1,2,0,0,0,14,0,0,0,0,0,2,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,155550
413,4131,770,0,163.0,607,0,0,0.0,0,0,0,0,0,770,0,163,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,429570
414,4622,2428,354,218.0,1856,0,0,972.0,151,185,636,0,0,1456,203,33,1220,0,0,2,60,0,0,1,5,0,0,1,0,0,0,96,0,0,0,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Уральский федеральный округ,Сельский населенный пункт,456406
415,4773,2502,312,599.0,1591,0,0,245.0,51,36,158,0,0,2257,261,563,1433,0,0,1,2,0,0,0,0,0,0,50,140,0,6,0,0,0,11,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,171900
416,2774,87,0,0.0,87,0,0,76.0,0,0,76,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Ресивер с поддержкой HDTV,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,404118
417,4502,1149,0,0.0,1042,107,0,0.0,0,0,0,0,0,1149,0,0,1042,107,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,141983
418,1101,409,110,0.0,282,17,0,408.0,109,0,282,17,0,1,1,0,0,0,0,102,0,0,0,0,0,1,0,2,0,19,0,0,0,3,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Уральский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,622051
419,5162,5360,947,704.0,2303,606,800,2272.0,353,295,1046,243,335,3088,594,409,1257,363,465,146,217,0,1,70,111,1,70,54,24,5,0,0,0,13,162,2.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Сельский населенный пункт,392543
420,1752,1070,69,363.0,638,0,0,97.0,23,0,74,0,0,973,46,363,564,0,0,0,0,11,46,0,0,0,0,6,0,0,0,0,0,6,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город более 400 тыс.,450003
421,4550,2422,469,341.0,1520,92,0,1462.0,299,256,824,83,0,960,170,85,696,9,0,120,5,61,0,2,0,0,0,112,165,1,1,0,0,2,0,7.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,617050
422,3851,124,72,52.0,0,0,0,0.0,0,0,0,0,0,124,72,52,0,0,0,0,68,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Нет членов семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,606819
423,425,2733,509,255.0,1386,172,411,1460.0,245,192,787,50,186,1273,264,63,599,122,225,186,27,1,67,3,1,17,9,15,89,1,0,0,0,13,68,1.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,618903
424,1286,1816,41,183.0,1592,0,0,442.0,0,0,442,0,0,1374,41,183,1150,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,617071
425,1086,1726,176,487.0,917,11,135,470.0,116,149,205,0,0,1256,60,338,712,11,135,0,52,11,3,2,0,0,0,50,1,0,0,0,0,55,2,3.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Приволжский федеральный округ,Сельский населенный пункт,453530
426,4447,522,0,160.0,362,0,0,0.0,0,0,0,0,0,522,0,160,362,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,143002
427,4254,345,0,47.0,298,0,0,0.0,0,0,0,0,0,345,0,47,298,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,452175
428,4736,690,67,194.0,429,0,0,0.0,0,0,0,0,0,690,67,194,429,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,75,0,0,4.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Южный федеральный округ,Сельский населенный пункт,347513
429,104,2395,256,803.0,924,404,8,833.0,132,306,266,121,8,1562,124,497,658,283,0,77,103,1,3,0,0,0,0,14,0,0,0,0,0,40,18,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Южный федеральный округ,Город более 400 тыс.,414000
430,4771,2118,86,343.0,1436,246,7,885.0,18,163,606,98,0,1233,68,180,830,148,7,10,0,1,0,1,1,2,0,4,67,2,0,0,0,0,0,2.0,Ресивер с поддержкой HEVC,Подключен к Триколор ТВ и к другому оператору спутникового/кабельного ТВ,Есть,Нет членов семьи в возрасте 55+ лет и нет до 18 лет,Центральный федеральный округ,Город с численностью менее 45 тыс.,171900
431,3706,2385,151,342.0,1205,309,378,1065.0,50,158,609,120,128,1320,101,184,596,189,250,49,100,0,0,5,1,0,0,0,0,0,0,0,0,0,0,6.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Северо-Кавказский федеральный округ,Сельский населенный пункт,366309
432,953,820,57,182.0,581,0,0,407.0,0,0,407,0,0,413,57,182,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Ресивер с поддержкой HDTV,Подключен только к Триколор ТВ,Есть,Есть члены семьи в возрасте 55+ лет и нет до 18 лет,Приволжский федеральный округ,Город с численностью менее 45 тыс.,606819
433,4337,1237,32,26.0,1098,81,0,487.0,0,0,487,0,0,750,32,26,611,81,0,0,31,0,0,19,0,0,0,0,1,6,0,0,0,0,0,3.0,Ресивер с поддержкой HEVC,Подключен только к Триколор ТВ,Нет,Есть члены семьи в возрасте 55+ лет и есть до 18 лет,Центральный федеральный округ,Город с численностью от 45 тыс. до 400 тыс.,308020
